iter	Passed	Remaining
0	46	46566
1	46	23402
2	47	15643
3	47	11785
4	47	9464
5	47	7914
6	47	6805
7	48	5973
8	48	5316
9	48	4798
10	48	4367
11	48	4014
12	48	3715
13	49	3459
14	49	3231
15	49	3037
16	49	2866
17	49	2714
18	49	2579
19	50	2453
20	50	2343
21	50	2242
22	50	2154
23	50	2066
24	51	1989
25	51	1917
26	51	1850
27	51	1788
28	51	1731
29	51	1678
30	52	1627
31	52	1583
32	52	1540
33	52	1497
34	52	1458
35	53	1421
36	53	1386
37	53	1352
38	53	1320
39	53	1290
40	53	1261
41	54	1236
42	54	1212
43	54	1189
44	54	1166
45	55	1144
46	55	1124
47	55	1105
48	55	1086
49	56	1067
50	56	1047
51	56	1031
52	56	1014
53	56	997
54	57	981
55	57	965
56	57	950
57	57	936
58	57	923
59	58	910
60	58	897
61	58	883
62	58	872
63	58	860
64	59	849
65	59	838
66	59	828
67	59	817
68	59	807
69	60	797
70	60	789
71	60	780
72	60	771
73	61	763
74	61	754
75	61	746
76	61	738
77	61	729
78	61	721
79	62	713
80	62	705
81	62	698
82	62	690
83	62	683
84	62	677
85	63	670
86	63	662
87	63	656
88	63	649
89	63	643
90	63	637
91	63	630
92	64	625
93	64	620
94	64	614
95	64	609
96	64	604
97	65	599
98	65	595
99	65	590
100	65	585
101	65	580
102	66	575
103	66	570
104	66	565
105	66	561
106	66	556
107	66	552
108	67	548
109	67	544
110	67	539
111	67	535
112	67	530
113	67	527
114	67	523
115	68	519
116	68	515
117	68	511
118	68	508
119	68	504
120	69	501
121	69	498
122	69	494
123	69	491
124	69	488
125	69	484
126	70	481
127	70	478
128	70	475
129	70	471
130	70	468
131	70	465
132	71	463
133	71	460
134	71	457
135	71	454
136	71	451
137	71	449
138	71	445
139	72	443
140	72	440
141	72	437
142	72	435
143	72	433
144	72	430
145	73	427
146	73	425
147	73	423
148	73	420
149	73	418
150	74	416
151	74	414
152	74	412
153	74	409
154	74	407
155	74	405
156	75	403
157	75	402
158	75	400
159	75	398
160	76	396
161	76	394
162	76	392
163	76	390
164	76	388
165	77	387
166	77	385
167	77	383
168	77	382
169	77	380
170	78	378
171	78	376
172	78	375
173	78	374
174	79	373
175	79	371
176	79	369
177	79	368
178	79	366
179	80	364
180	80	363
181	80	361
182	80	359
183	80	358
184	80	356
185	81	355
186	81	353
187	81	352
188	81	350
189	81	349
190	82	347
191	82	346
192	82	344
193	82	343
194	82	341
195	82	340
196	83	338
197	83	337
198	83	336
199	83	334
200	83	333
201	84	331
202	84	330
203	84	329
204	84	327
205	84	326
206	84	325
207	85	323
208	85	322
209	85	321
210	85	320
211	85	318
212	85	317
213	86	316
214	86	315
215	86	313
216	86	312
217	86	311
218	87	310
219	87	309
220	87	307
221	87	306
222	87	305
223	87	304
224	88	303
225	88	302
226	88	301
227	88	299
228	88	298
229	88	297
230	89	296
231	89	295
232	89	294
233	89	293
234	89	292
235	89	291
236	90	290
237	90	289
238	90	288
239	90	287
240	90	286
241	91	285
242	91	284
243	91	283
244	91	282
245	91	280
246	91	279
247	92	279
248	92	278
249	92	277
250	92	276
251	92	275
252	92	274
253	93	273
254	93	272
255	93	271
256	93	270
257	93	269
258	93	268
259	94	267
260	94	266
261	94	265
262	94	265
263	94	264
264	94	263
265	95	262
266	95	261
267	95	260
268	95	259
269	95	258
270	95	258
271	96	257
272	96	256
273	96	255
274	96	254
275	96	253
276	96	253
277	97	252
278	97	251
279	97	250
280	97	249
281	97	249
282	98	248
283	98	247
284	98	246
285	98	245
286	98	245
287	98	244
288	99	244
289	99	243
290	99	242
291	99	241
292	99	241
293	100	240
294	100	239
295	100	238
296	100	238
297	100	237
298	100	236
299	101	236
300	101	235
301	101	234
302	101	233
303	101	233
304	102	232
305	102	231
306	102	231
307	102	230
308	102	229
309	102	228
310	103	228
311	103	227
312	103	226
313	103	226
314	103	225
315	103	224
316	104	224
317	104	223
318	104	222
319	104	222
320	104	221
321	104	221
322	105	220
323	105	219
324	105	219
325	105	218
326	105	217
327	106	217
328	106	216
329	106	215
330	106	215
331	106	214
332	106	214
333	107	213
334	107	212
335	107	212
336	107	211
337	107	211
338	107	210
339	108	209
340	108	209
341	108	208
342	108	208
343	108	207
344	108	206
345	109	206
346	109	205
347	109	205
348	109	204
349	109	203
350	110	203
351	110	202
352	110	202
353	110	201
354	110	201
355	110	200
356	111	200
357	111	199
358	111	198
359	111	198
360	111	197
361	111	197
362	112	196
363	112	196
364	112	195
365	112	195
366	112	194
367	112	194
368	113	193
369	113	192
370	113	192
371	113	191
372	113	191
373	114	190
374	114	190
375	114	189
376	114	189
377	114	188
378	114	188
379	115	187
380	115	187
381	115	186
382	115	186
383	115	185
384	115	185
385	116	184
386	116	184
387	116	183
388	116	183
389	116	182
390	116	182
391	117	181
392	117	181
393	117	180
394	117	180
395	117	179
396	118	179
397	118	178
398	118	178
399	118	177
400	118	177
401	118	176
402	119	176
403	119	175
404	119	175
405	119	174
406	119	174
407	119	174
408	120	173
409	120	173
410	120	172
411	120	172
412	120	171
413	120	171
414	121	170
415	121	170
416	121	169
417	121	169
418	121	168
419	122	168
420	122	168
421	122	167
422	122	167
423	122	166
424	122	166
425	123	165
426	123	165
427	123	164
428	123	164
429	123	164
430	123	163
431	124	163
432	124	162
433	124	162
434	124	161
435	124	161
436	125	161
437	125	160
438	125	160
