iter	Passed	Remaining
0	0	353
1	0	298
2	0	298
3	1	299
4	1	284
5	1	278
6	1	269
7	2	264
8	2	260
9	2	256
10	2	264
11	3	259
12	3	260
13	3	262
14	3	260
15	4	258
16	4	258
17	4	256
18	4	254
19	5	253
20	5	251
21	5	249
22	5	247
23	6	248
24	6	246
25	6	246
26	6	245
27	7	244
28	7	242
29	7	242
30	7	240
31	7	239
32	8	238
33	8	237
34	8	236
35	8	236
36	9	235
37	9	234
38	9	233
39	9	233
40	10	234
41	10	233
42	10	232
43	10	231
44	10	231
45	11	231
46	11	230
47	11	230
48	11	230
49	12	229
50	12	229
51	12	228
52	12	227
53	12	226
54	13	225
55	13	225
56	13	225
57	13	224
58	14	224
59	14	223
60	14	223
61	14	222
62	14	222
63	15	221
64	15	221
65	15	221
66	15	220
67	16	220
68	16	220
69	16	220
70	16	220
71	17	223
72	17	222
73	17	222
74	17	221
75	18	220
76	18	220
77	18	219
78	18	219
79	19	219
80	19	218
81	19	218
82	19	216
83	19	216
84	20	215
85	20	215
86	20	215
87	20	214
88	20	214
89	21	214
90	21	214
91	21	213
92	21	213
93	22	213
94	22	212
95	22	212
96	22	212
97	23	211
98	23	211
99	23	211
100	23	211
101	23	210
102	24	210
103	24	210
104	24	210
105	24	209
106	25	209
107	25	209
108	25	208
109	25	208
110	25	207
111	26	207
112	26	207
113	26	207
114	26	207
115	27	207
116	27	206
117	27	206
118	27	205
119	28	205
120	28	205
121	28	204
122	28	204
123	28	204
124	29	204
125	29	204
126	29	203
127	29	203
128	30	203
129	30	203
130	30	202
131	30	202
132	31	202
133	31	201
134	31	201
135	31	201
136	31	201
137	32	201
138	32	200
139	32	200
140	32	200
141	33	199
142	33	199
143	33	199
144	33	198
145	33	198
146	34	198
147	34	197
148	34	197
149	34	197
150	35	196
151	35	196
152	35	196
153	35	196
154	35	195
155	36	195
156	36	195
157	36	194
158	36	194
159	37	194
160	37	193
161	37	193
162	37	192
163	37	192
164	38	192
165	38	192
166	38	191
167	38	191
168	38	191
169	39	190
170	39	190
171	39	190
172	39	190
173	39	189
174	40	189
175	40	189
176	40	188
177	40	188
178	41	188
179	41	188
180	41	187
181	41	187
182	41	187
183	42	187
184	42	186
185	42	186
186	42	186
187	43	185
188	43	185
189	43	185
190	43	185
191	43	184
192	44	184
193	44	184
194	44	184
195	44	184
196	45	183
197	45	183
198	45	183
199	45	183
200	45	182
201	46	182
202	46	182
203	46	182
204	46	181
205	47	181
206	47	181
207	47	181
208	47	180
209	48	180
210	48	180
211	48	180
212	48	179
213	48	179
214	49	179
215	49	179
216	49	178
217	49	178
218	49	178
219	50	178
220	50	177
221	50	177
222	51	177
223	51	177
224	51	177
225	51	177
226	51	176
227	52	176
228	52	176
229	52	176
230	52	176
231	53	176
232	53	176
233	53	175
234	53	175
235	54	175
236	54	175
237	54	174
238	54	174
239	55	174
240	55	174
241	55	173
242	55	173
243	55	173
244	56	172
245	56	172
246	56	172
247	56	172
248	56	171
249	57	171
250	57	171
251	57	171
252	57	170
253	58	170
254	58	170
255	58	170
256	58	169
257	58	169
258	59	169
259	59	169
260	59	168
261	59	168
262	60	168
263	60	168
264	60	167
265	60	167
266	60	167
267	61	167
268	61	167
269	61	166
270	61	166
271	62	166
272	62	166
273	62	165
274	62	165
275	63	165
276	63	165
277	63	165
278	63	164
279	63	164
280	64	164
281	64	164
282	64	163
283	64	163
284	65	163
285	65	163
286	65	162
287	65	162
288	65	162
289	66	161
290	66	161
291	66	161
292	66	161
293	67	161
294	67	160
295	67	160
296	67	160
297	68	160
298	68	159
299	68	159
300	68	159
301	68	159
302	69	159
303	69	158
304	69	158
305	69	158
306	70	158
307	70	157
308	70	157
309	70	157
310	70	157
311	71	156
312	71	156
313	71	156
314	71	156
315	72	155
316	72	155
317	72	155
318	72	155
319	72	154
320	73	154
321	73	154
322	73	154
323	73	154
324	74	153
325	74	153
326	74	153
327	74	153
328	74	152
329	75	152
330	75	152
331	75	152
332	75	151
333	76	151
334	76	151
335	76	151
336	76	150
337	76	150
338	77	150
339	77	150
340	77	149
341	77	149
342	78	149
343	78	149
344	78	149
345	78	148
346	78	148
347	79	148
348	79	148
349	79	147
350	79	147
351	80	147
352	80	147
353	80	146
354	80	146
355	80	146
356	81	146
357	81	146
358	81	145
359	81	145
360	82	145
361	82	145
362	82	144
363	82	144
364	82	144
365	83	144
366	83	143
367	83	143
368	83	143
369	84	143
370	84	142
371	84	142
372	84	142
373	84	142
374	85	141
375	85	141
376	85	141
377	85	141
378	86	141
379	86	140
380	86	140
381	86	140
382	86	140
383	87	139
384	87	139
385	87	139
386	87	139
387	88	138
388	88	138
389	88	138
390	88	138
391	88	137
392	89	137
393	89	137
394	89	137
395	89	136
396	89	136
397	90	136
398	90	136
399	90	135
400	90	135
401	91	135
402	91	135
403	91	134
404	91	134
405	91	134
406	92	134
407	92	134
408	92	133
409	92	133
410	93	133
411	93	133
412	93	133
413	94	133
414	94	132
415	94	132
416	94	132
417	94	132
418	95	131
419	95	131
420	95	131
421	95	131
422	96	131
423	96	130
424	96	130
425	96	130
426	96	130
427	97	129
428	97	129
429	97	129
430	97	129
431	98	128
432	98	128
433	98	128
434	98	128
435	98	127
436	99	127
437	99	127
438	99	127
439	99	127
440	100	126
441	100	126
442	100	126
443	100	126
444	100	125
445	101	125
446	101	125
447	101	125
448	101	124
449	102	124
450	102	124
451	102	124
452	102	123
453	102	123
454	103	123
455	103	123
456	103	123
457	103	122
458	103	122
459	104	122
460	104	122
461	104	121
462	104	121
463	105	121
464	105	121
465	105	120
466	105	120
467	105	120
468	106	120
469	106	119
470	106	119
471	106	119
472	107	119
473	107	119
474	107	118
475	107	118
476	107	118
477	108	118
478	108	117
479	108	117
480	108	117
481	109	117
482	109	116
483	109	116
484	109	116
485	109	116
486	110	116
487	110	115
488	110	115
489	110	115
490	111	115
491	111	114
492	111	114
493	111	114
494	112	114
495	112	114
496	112	114
497	112	113
498	113	113
499	113	113
500	113	113
501	114	113
502	114	112
503	114	112
504	115	112
505	115	112
506	115	112
507	115	112
508	116	112
509	116	111
510	116	111
511	117	111
512	117	111
513	117	111
514	117	111
515	118	110
516	118	110
517	118	110
518	119	110
519	119	110
520	119	109
521	119	109
522	120	109
523	120	109
524	120	109
525	120	108
526	121	108
527	121	108
528	121	108
529	121	108
530	122	107
531	122	107
532	122	107
533	122	107
534	123	107
535	123	106
536	123	106
537	123	106
538	124	106
539	124	106
540	124	105
541	125	105
542	125	105
543	125	105
544	125	105
545	126	104
546	126	104
547	126	104
548	126	104
549	127	104
550	127	103
551	127	103
552	128	103
553	128	103
554	128	103
555	128	102
556	129	102
557	129	102
558	129	102
559	130	102
560	130	102
561	130	101
562	130	101
563	131	101
564	131	101
565	131	101
566	131	100
567	132	100
568	132	100
569	132	100
570	133	99
571	133	99
572	133	99
573	134	99
574	134	99
575	134	99
576	134	98
577	135	98
578	135	98
579	135	98
580	135	97
581	136	97
582	136	97
583	136	97
584	136	97
585	137	96
586	137	96
587	137	96
588	137	96
589	138	96
590	138	95
591	138	95
592	139	95
593	139	95
594	139	94
595	139	94
596	140	94
597	140	94
598	140	94
599	140	93
600	141	93
601	141	93
602	141	93
603	141	93
604	142	92
605	142	92
606	142	92
607	142	92
608	143	91
609	143	91
610	143	91
611	144	91
612	144	91
613	144	90
614	144	90
615	145	90
616	145	90
617	145	89
618	145	89
619	146	89
620	146	89
621	146	89
622	146	88
623	147	88
624	147	88
625	147	88
626	147	87
627	148	87
628	148	87
629	148	87
630	148	87
631	149	86
632	149	86
633	149	86
634	149	86
635	150	85
636	150	85
637	150	85
638	150	85
639	151	85
640	151	84
641	151	84
642	151	84
643	152	84
644	152	83
645	152	83
646	153	83
647	153	83
648	153	83
649	153	82
650	154	82
651	154	82
652	154	82
653	154	81
654	155	81
655	155	81
656	155	81
657	155	81
658	156	80
659	156	80
660	156	80
661	156	80
662	157	79
663	157	79
664	157	79
665	157	79
666	158	78
667	158	78
668	158	78
669	158	78
670	159	78
671	159	77
672	159	77
673	159	77
674	160	77
675	160	76
676	160	76
677	161	76
678	161	76
679	161	76
680	161	75
681	162	75
682	162	75
683	162	75
684	162	74
685	163	74
686	163	74
687	163	74
688	163	74
689	164	73
690	164	73
691	164	73
692	164	73
693	165	72
694	165	72
695	165	72
696	166	72
697	166	71
698	166	71
699	166	71
700	167	71
701	167	71
702	167	70
703	167	70
704	168	70
705	168	70
706	168	69
707	168	69
708	169	69
709	169	69
710	169	68
711	169	68
712	170	68
713	170	68
714	170	68
715	171	67
716	171	67
717	171	67
718	171	67
719	172	66
720	172	66
721	173	66
722	173	66
723	173	66
724	173	65
725	174	65
726	174	65
727	174	65
728	174	65
729	175	64
730	175	64
731	175	64
732	176	64
733	176	63
734	176	63
735	176	63
736	177	63
737	177	62
738	177	62
739	177	62
740	178	62
741	178	62
742	178	61
743	179	61
744	179	61
745	179	61
746	179	60
747	180	60
748	180	60
749	180	60
750	180	59
751	181	59
752	181	59
753	181	59
754	181	59
755	182	58
756	182	58
757	182	58
758	183	58
759	183	57
760	183	57
761	184	57
762	184	57
763	184	57
764	184	56
765	185	56
766	185	56
767	185	56
768	185	55
769	186	55
770	186	55
771	186	55
772	186	54
773	187	54
774	187	54
775	187	54
776	188	53
777	188	53
778	188	53
779	188	53
780	189	53
781	189	52
782	189	52
783	189	52
784	190	52
785	190	51
786	190	51
787	191	51
788	191	51
789	191	50
790	191	50
791	192	50
792	192	50
793	192	49
794	192	49
795	193	49
796	193	49
797	193	49
798	194	48
799	194	48
800	194	48
801	194	48
802	195	47
803	195	47
804	195	47
805	195	47
806	196	46
807	196	46
808	196	46
809	196	46
810	197	45
811	197	45
812	197	45
813	198	45
814	198	45
815	198	44
816	198	44
817	199	44
818	199	44
819	199	43
820	199	43
821	200	43
822	200	43
823	200	42
824	201	42
825	201	42
826	201	42
827	201	41
828	202	41
829	202	41
830	202	41
831	202	40
832	203	40
833	203	40
834	203	40
835	204	40
836	204	39
837	204	39
838	204	39
839	205	39
840	205	38
841	205	38
842	205	38
843	206	38
844	206	37
845	206	37
846	206	37
847	207	37
848	207	36
849	207	36
850	207	36
851	208	36
852	208	35
853	208	35
854	209	35
855	209	35
856	209	34
857	209	34
858	210	34
859	210	34
860	210	33
861	210	33
862	211	33
863	211	33
864	211	33
865	211	32
866	212	32
867	212	32
868	212	32
869	213	31
870	213	31
871	213	31
872	213	31
873	214	30
874	214	30
875	214	30
876	215	30
877	215	29
878	215	29
879	215	29
880	216	29
881	216	28
882	216	28
883	217	28
884	217	28
885	217	28
886	218	27
887	218	27
888	218	27
889	218	27
890	219	26
891	219	26
892	219	26
893	220	26
894	220	25
895	220	25
896	220	25
897	221	25
898	221	24
899	221	24
900	221	24
901	222	24
902	222	23
903	222	23
904	222	23
905	223	23
906	223	22
907	223	22
908	224	22
909	224	22
910	224	21
911	224	21
912	225	21
913	225	21
914	225	20
915	225	20
916	226	20
917	226	20
918	226	19
919	226	19
920	227	19
921	227	19
922	227	18
923	227	18
924	228	18
925	228	18
926	228	18
927	228	17
928	229	17
929	229	17
930	229	17
931	230	16
932	230	16
933	230	16
934	230	16
935	231	15
936	231	15
937	231	15
938	231	15
939	232	14
940	232	14
941	232	14
942	232	14
943	233	13
944	233	13
945	233	13
946	233	13
947	234	12
948	234	12
949	234	12
950	234	12
951	235	11
952	235	11
953	235	11
954	235	11
955	235	10
956	236	10
957	236	10
958	236	10
959	236	9
960	237	9
961	237	9
962	237	9
963	237	8
964	237	8
965	238	8
966	238	8
967	238	7
968	238	7
969	239	7
970	239	7
971	239	6
972	239	6
973	239	6
974	240	6
975	240	5
976	240	5
977	240	5
978	241	5
979	241	4
980	241	4
981	241	4
982	241	4
983	242	3
984	242	3
985	242	3
986	242	3
987	242	2
988	243	2
989	243	2
990	243	2
991	243	1
992	244	1
993	244	1
